Year,CO2,Methane,Precipitation,Solar_Radiation,Sea_level,Temperature_Anomaly
1980,339.7116735,1645.944402,1002.657064,1359.342559,-27.71411913,-0.1919918977
1981,340.550515,1654.747327,1052.690179,1359.781712,-23.65459231,-0.08925867089
1982,341.7481294,1667.541956,967.0742368,1358.857407,-15.84477234,0.007848827535
,344.8612508,1663.311188,1092.222436,1358.626113,-22.44059016,-0.06321201879
1984,346.3978402,1666.064603,996.2242791,1359.918723,-15.85121768,-0.03287360697
1985,347.2337074,1682.953094,1013.213137,1359.723011,-19.69350238,0.1225804987
1986,352.9044073,1681.232493,930.2320318,1361.300823,-19.93959612,0.1557927947
1987,353.5656052,1695.60394,1035.420784,1362.838901,-12.94324706,0.2406080608
1988,354.0989023,1702.276269,1038.137793,1362.820293,-17.17964455,0.2278504621
,352.7534678,1694.831399,1018.364793,1364.210469,-15.01646239,0.07765246883
1990,356.6734784,1712.49589,971.1585946,1362.33433,-11.4110722,0.3470312201
1991,359.299318,1730.74438,979.1997524,1362.900676,-6.954437354,0.2474281162
1992,360.4645021,1712.084476,993.1229143,1362.468659,-4.834765466,0.3831754158
1993,362.9486796,1737.805044,1064.749374,1363.03093,12.19623527,0.5369598234
1994,364.2206386,1729.602612,1026.029449,1362.254772,-0.04918140924,0.4276332157
1995,366.6032258,1739.546587,990.2863306,1363.125309,0.7662533514,0.5596523858
1996,368.5772424,1749.172453,980.7203637,1361.525769,2.730462903,0.5038956818
1997,370.7757558,1745.907948,846.7107857,1356.827028,9.224094882,0.4781917234
1998,371.369742,1764.763694,966.5909724,1358.847262,13.1296724,0.6205568597
1999,374.9269028,1769.005658,1002.848249,1359.984962,8.553392056,0.6985342127
2000,375.4664007,1773.809696,954.5316156,1360.450997,16.92430804,0.6644881431
2001,376.8728225,1780.209955,925.6044751,1364.697622,29.96585582,0.8014158439
2002,378.8704066,1789.506521,1058.480552,1359.60306,11.10583573,0.6919962505
2003,381.9205452,1794.665845,1019.683872,1359.435283,22.98374761,0.8536140801
2004,384.6421249,1806.179151,1026.52847,1358.567469,27.94927769,0.9153227272
2005,385.6938245,1804.790999,970.6785293,1363.853295,34.89639129,0.9207395993
2006,388.5217492,1812.649962,1052.825001,1363.135395,22.96265757,0.9510921762
2007,390.3665235,1814.40798,963.3040878,1361.17447,31.6560292,1.069229433
2008,392.8247627,1828.021731,995.8016131,1356.613135,33.6390508,1.035203729
2009,393.8142867,1834.892772,1006.364408,1364.059669,29.9192884,0.9756056272
2010,394.6921265,1844.324098,1017.221127,1359.887275,43.98336335,1.2107165
2011,398.0520796,1850.463469,1034.298497,1361.888338,41.10756186,1.276355133
